parameter,value
title,"CV Peter Yao"
name,"Peter"
surname,"YAO"
position,"Process Development Scientist"
address,"Basel, Switzerland"
phone,"+41 78 902 71 76"
profilepic,"`r here::here('assets', 'peter.png')`"
www,"peterjyao.github.io/vitae/"
email,"peterjyao@gmail.com"
twitter,"peterjyao"
github,"peterjyao"
linkedin,"peterjyao"
date,"`r format(Sys.time(), '%B %Y')`"
aboutme,"Versatile, data-driven scientist, passionate about modeling of manufacturing processes; and data management, visualisation, and analysis."
